"Site Crawled","https://dunhamlaw.com/"
"Start Date","2026-03-01"
"Start Time","12:49:56"
"Last Modified Date","2026-03-01"
"Last Modified Time","13:30:35"
"Elapsed","00:40:39"
"Report Date","2026-03-01"
"Report Time","13:52:11"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","1216",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","1216",""
"Text Requires Higher Color Contrast to Background","0","0.00%","1216",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","1216",""
"Interactive Controls Must Not Be Nested","0","0.00%","1216",""
"List Items Must Be Contained In List Elements","0","0.00%","1216",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","1216",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","1216",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","1216",""
"<th> Element Requires Associated Data Cells","0","0.00%","1216",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","1216",""
"Table Headers Require Discernible Text","0","0.00%","1216",""
"Table With Identical Summary & Caption Text","0","0.00%","1216",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","1216",""
""
"Custom Search"
"All","1216","100.00%","1216","Internal HTML pages with 2xx response"
"""dunnam"" in HTML","0","0.00%","1216","Internal HTML pages with 2xx response"
"""dunnam"" in Page Text","0","0.00%","1216","Internal HTML pages with 2xx response"
"""dunnam"" in Content Area","0","0.00%","1216","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","1216","100.00%","1216","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","1772","100.00%","1772","Internal HTML pages with 2xx response"
""
"Analytics"
"All","1548","100.00%","1548","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","1548","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","1548","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","1548","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","1548","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","1548","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","1548","100.00%","1548","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","1548","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","1548","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","2104","100.00%","2104","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","2104","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","2104","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","2104","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","2104","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","2104","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","2104","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","2104","Internal URLs with 2xx response"
"HTML Document Over 15MB","0","0.00%","2104","Internal URLs with 2xx response"
"Resource Over 15MB","0","0.00%","2104","Internal URLs with 2xx response"
"High Carbon Rating","18","0.86%","2104","Internal URLs with 2xx response"
""
"Link Metrics"
"All","1549","100.00%","1549","Internal HTML/PDF pages"
""
"AI"
"All","1772","100.00%","1772","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","0.08%","1216","Internal HTML pages with 2xx response"
"1","1167","95.97%","1216","Internal HTML pages with 2xx response"
"2","41","3.37%","1216","Internal HTML pages with 2xx response"
"3","0","0.00%","1216","Internal HTML pages with 2xx response"
"4","0","0.00%","1216","Internal HTML pages with 2xx response"
"5","0","0.00%","1216","Internal HTML pages with 2xx response"
"6","0","0.00%","1216","Internal HTML pages with 2xx response"
"7","0","0.00%","1216","Internal HTML pages with 2xx response"
"8","0","0.00%","1216","Internal HTML pages with 2xx response"
"9","0","0.00%","1216","Internal HTML pages with 2xx response"
"10+","0","0.00%","1216","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://www.dunhamlaw.com/","1216","100.00%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/injury-lawyers/","1177","96.79%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/possession/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/sex-crimes-lawyers/child-sexual-abuse-defense/criminal-investigations-and-procedures/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/sex-crimes-lawyers/crimes-against-children-in-texas/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/domestic-violence/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/payments/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/sex-crimes-lawyers/adult-sexual-abuse/human-trafficking-crimes/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/misdemeanors/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/felonies/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/dwi/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/theft/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/assault/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/sex-crimes-lawyers/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/crimes-against-the-family/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/sex-crimes-lawyers/child-sexual-abuse-defense/sending-and-receiving-explicit-photos/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/tx/sex-crimes-lawyers/child-sexual-abuse-defense/online-solicitation-of-a-minor/","929","76.40%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/attorneys/alexander-hinshaw/","891","73.27%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/attorneys/benjamin-griffin/","891","73.27%","1216","Internal HTML pages with 2xx response"
"https://www.dunhamlaw.com/attorneys/bohumila-jones-attorney/","891","73.27%","1216","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","2087","99.19%"
"2","6","0.29%"
"3","2","0.10%"
"4","2","0.10%"
"5","3","0.14%"
"6","0","0.00%"
"7","0","0.00%"
"8","0","0.00%"
"9","0","0.00%"
"10","0","0.00%"
"11","4","0.19%"
